0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,1.0122e-19,2.0243e-19,5.0609e-19,1.0122e-18,2.0243e-18,4.0487e-18,8.0974e-18,1.012e-19,2.024e-19,5.0601e-19,1.012e-18,2.024e-18,4.0481e-18,8.0962e-18,1.0117e-19,2.0234e-19,5.0586e-19,1.0117e-18,2.0234e-18,4.0468e-18,8.0937e-18,1.0111e-19,2.0222e-19,5.0555e-19,1.0111e-18,2.0222e-18,4.0444e-18,8.0888e-18,1.0099e-19,2.0197e-19,5.0493e-19,1.0099e-18,2.0197e-18,4.0395e-18,8.0789e-18,1.0074e-19,2.0148e-19,5.037e-19,1.0074e-18,2.0148e-18,4.0296e-18,8.0593e-18,1.0025e-19,2.0051e-19,5.0126e-19,1.0025e-18,2.0051e-18,4.0101e-18,8.0202e-18
0.01,4.7559e-17,9.5118e-17,2.3779e-16,4.7559e-16,9.5118e-16,1.9024e-15,3.8047e-15,4.755e-17,9.51e-17,2.3775e-16,4.755e-16,9.51e-16,1.902e-15,3.804e-15,4.7533e-17,9.5066e-17,2.3766e-16,4.7533e-16,9.5066e-16,1.9013e-15,3.8026e-15,4.7498e-17,9.4996e-17,2.3749e-16,4.7498e-16,9.4996e-16,1.8999e-15,3.7999e-15,4.7429e-17,9.4858e-17,2.3715e-16,4.7429e-16,9.4858e-16,1.8972e-15,3.7943e-15,4.7291e-17,9.4583e-17,2.3646e-16,4.7291e-16,9.4583e-16,1.8917e-15,3.7833e-15,4.7018e-17,9.4036e-17,2.3509e-16,4.7018e-16,9.4036e-16,1.8807e-15,3.7614e-15
0.015,2.1918e-15,4.3836e-15,1.0959e-14,2.1918e-14,4.3836e-14,8.7672e-14,1.7534e-13,2.1913e-15,4.3826e-15,1.0957e-14,2.1913e-14,4.3826e-14,8.7652e-14,1.753e-13,2.1903e-15,4.3807e-15,1.0952e-14,2.1903e-14,4.3807e-14,8.7614e-14,1.7523e-13,2.1884e-15,4.3768e-15,1.0942e-14,2.1884e-14,4.3768e-14,8.7537e-14,1.7507e-13,2.1846e-15,4.3691e-15,1.0923e-14,2.1846e-14,4.3691e-14,8.7383e-14,1.7477e-13,2.1769e-15,4.3538e-15,1.0885e-14,2.1769e-14,4.3538e-14,8.7077e-14,1.7415e-13,2.1617e-15,4.3235e-15,1.0809e-14,2.1617e-14,4.3235e-14,8.647e-14,1.7294e-13
0.02,3.6008e-14,7.2016e-14,1.8004e-13,3.6008e-13,7.2016e-13,1.4403e-12,2.8807e-12,3.5999e-14,7.1997e-14,1.7999e-13,3.5999e-13,7.1997e-13,1.4399e-12,2.8799e-12,3.598e-14,7.1959e-14,1.799e-13,3.598e-13,7.1959e-13,1.4392e-12,2.8784e-12,3.5942e-14,7.1884e-14,1.7971e-13,3.5942e-13,7.1884e-13,1.4377e-12,2.8753e-12,3.5866e-14,7.1732e-14,1.7933e-13,3.5866e-13,7.1732e-13,1.4346e-12,2.8693e-12,3.5716e-14,7.1431e-14,1.7858e-13,3.5716e-13,7.1431e-13,1.4286e-12,2.8573e-12,3.5418e-14,7.0836e-14,1.7709e-13,3.5418e-13,7.0836e-13,1.4167e-12,2.8334e-12
0.025,3.2776e-13,6.5552e-13,1.6388e-12,3.2776e-12,6.5552e-12,1.311e-11,2.6221e-11,3.2766e-13,6.5532e-13,1.6383e-12,3.2766e-12,6.5532e-12,1.3106e-11,2.6213e-11,3.2745e-13,6.5491e-13,1.6373e-12,3.2745e-12,6.5491e-12,1.3098e-11,2.6196e-11,3.2705e-13,6.541e-13,1.6352e-12,3.2705e-12,6.541e-12,1.3082e-11,2.6164e-11,3.2624e-13,6.5247e-13,1.6312e-12,3.2624e-12,6.5247e-12,1.3049e-11,2.6099e-11,3.2462e-13,6.4924e-13,1.6231e-12,3.2462e-12,6.4924e-12,1.2985e-11,2.597e-11,3.2144e-13,6.4287e-13,1.6072e-12,3.2144e-12,6.4287e-12,1.2857e-11,2.5715e-11
0.03,2.0307e-12,4.0614e-12,1.0154e-11,2.0307e-11,4.0614e-11,8.1228e-11,1.6246e-10,2.03e-12,4.06e-12,1.015e-11,2.03e-11,4.06e-11,8.1199e-11,1.624e-10,2.0285e-12,4.057e-12,1.0143e-11,2.0285e-11,4.057e-11,8.1141e-11,1.6228e-10,2.0256e-12,4.0512e-12,1.0128e-11,2.0256e-11,4.0512e-11,8.1023e-11,1.6205e-10,2.0198e-12,4.0395e-12,1.0099e-11,2.0198e-11,4.0395e-11,8.079e-11,1.6158e-10,2.0082e-12,4.0164e-12,1.0041e-11,2.0082e-11,4.0164e-11,8.0328e-11,1.6066e-10,1.9854e-12,3.9708e-12,9.927e-12,1.9854e-11,3.9708e-11,7.9416e-11,1.5883e-10
0.035,9.5934e-12,1.9187e-11,4.7967e-11,9.5934e-11,1.9187e-10,3.8374e-10,7.6747e-10,9.5894e-12,1.9179e-11,4.7947e-11,9.5894e-11,1.9179e-10,3.8358e-10,7.6716e-10,9.5815e-12,1.9163e-11,4.7908e-11,9.5815e-11,1.9163e-10,3.8326e-10,7.6652e-10,9.5658e-12,1.9132e-11,4.7829e-11,9.5658e-11,1.9132e-10,3.8263e-10,7.6526e-10,9.5343e-12,1.9069e-11,4.7672e-11,9.5343e-11,1.9069e-10,3.8137e-10,7.6275e-10,9.4721e-12,1.8944e-11,4.736e-11,9.4721e-11,1.8944e-10,3.7888e-10,7.5776e-10,9.3496e-12,1.8699e-11,4.6748e-11,9.3496e-11,1.8699e-10,3.7399e-10,7.4797e-10
0.04,3.7044e-11,7.4087e-11,1.8522e-10,3.7044e-10,7.4087e-10,1.4817e-09,2.9635e-09,3.7026e-11,7.4053e-11,1.8513e-10,3.7026e-10,7.4053e-10,1.4811e-09,2.9621e-09,3.6992e-11,7.3984e-11,1.8496e-10,3.6992e-10,7.3984e-10,1.4797e-09,2.9594e-09,3.6923e-11,7.3847e-11,1.8462e-10,3.6923e-10,7.3847e-10,1.4769e-09,2.9539e-09,3.6787e-11,7.3574e-11,1.8393e-10,3.6787e-10,7.3574e-10,1.4715e-09,2.943e-09,3.6517e-11,7.3033e-11,1.8258e-10,3.6517e-10,7.3033e-10,1.4607e-09,2.9213e-09,3.5986e-11,7.1973e-11,1.7993e-10,3.5986e-10,7.1973e-10,1.4395e-09,2.8789e-09
0.045,1.2239e-10,2.4478e-10,6.1194e-10,1.2239e-09,2.4478e-09,4.8955e-09,9.791e-09,1.2232e-10,2.4465e-10,6.1162e-10,1.2232e-09,2.4465e-09,4.893e-09,9.7859e-09,1.222e-10,2.444e-10,6.1099e-10,1.222e-09,2.444e-09,4.8879e-09,9.7758e-09,1.2195e-10,2.4389e-10,6.0973e-10,1.2195e-09,2.4389e-09,4.8778e-09,9.7556e-09,1.2144e-10,2.4289e-10,6.0722e-10,1.2144e-09,2.4289e-09,4.8577e-09,9.7155e-09,1.2045e-10,2.409e-10,6.0225e-10,1.2045e-09,2.409e-09,4.818e-09,9.636e-09,1.1851e-10,2.3701e-10,5.9254e-10,1.1851e-09,2.3701e-09,4.7403e-09,9.4806e-09
