0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,1.1793e-19,2.3585e-19,5.8963e-19,1.1793e-18,2.3585e-18,4.717e-18,9.434e-18,1.1775e-19,2.3549e-19,5.8873e-19,1.1775e-18,2.3549e-18,4.7098e-18,9.4197e-18,1.1739e-19,2.3478e-19,5.8694e-19,1.1739e-18,2.3478e-18,4.6955e-18,9.391e-18,1.1668e-19,2.3336e-19,5.8339e-19,1.1668e-18,2.3336e-18,4.6671e-18,9.3343e-18,1.1528e-19,2.3056e-19,5.7639e-19,1.1528e-18,2.3056e-18,4.6111e-18,9.2223e-18,1.1256e-19,2.2512e-19,5.6279e-19,1.1256e-18,2.2512e-18,4.5023e-18,9.0047e-18,1.0742e-19,2.1483e-19,5.3708e-19,1.0742e-18,2.1483e-18,4.2966e-18,8.5933e-18
0.01,5.5394e-17,1.1079e-16,2.7697e-16,5.5394e-16,1.1079e-15,2.2158e-15,4.4316e-15,5.5294e-17,1.1059e-16,2.7647e-16,5.5294e-16,1.1059e-15,2.2117e-15,4.4235e-15,5.5093e-17,1.1019e-16,2.7547e-16,5.5093e-16,1.1019e-15,2.2037e-15,4.4075e-15,5.4696e-17,1.0939e-16,2.7348e-16,5.4696e-16,1.0939e-15,2.1878e-15,4.3757e-15,5.3914e-17,1.0783e-16,2.6957e-16,5.3914e-16,1.0783e-15,2.1566e-15,4.3131e-15,5.2403e-17,1.0481e-16,2.6202e-16,5.2403e-16,1.0481e-15,2.0961e-15,4.1922e-15,4.9575e-17,9.9151e-17,2.4788e-16,4.9575e-16,9.9151e-16,1.983e-15,3.966e-15
0.015,2.552e-15,5.1041e-15,1.276e-14,2.552e-14,5.1041e-14,1.0208e-13,2.0416e-13,2.5464e-15,5.0929e-15,1.2732e-14,2.5464e-14,5.0929e-14,1.0186e-13,2.0371e-13,2.5353e-15,5.0706e-15,1.2676e-14,2.5353e-14,5.0706e-14,1.0141e-13,2.0282e-13,2.5133e-15,5.0265e-15,1.2566e-14,2.5133e-14,5.0265e-14,1.0053e-13,2.0106e-13,2.4701e-15,4.9402e-15,1.2351e-14,2.4701e-14,4.9402e-14,9.8804e-14,1.9761e-13,2.3873e-15,4.7746e-15,1.1937e-14,2.3873e-14,4.7746e-14,9.5493e-14,1.9099e-13,2.2347e-15,4.4694e-15,1.1174e-14,2.2347e-14,4.4694e-14,8.9389e-14,1.7878e-13
0.02,4.191e-14,8.382e-14,2.0955e-13,4.191e-13,8.382e-13,1.6764e-12,3.3528e-12,4.18e-14,8.36e-14,2.09e-13,4.18e-13,8.36e-13,1.672e-12,3.344e-12,4.1581e-14,8.3162e-14,2.079e-13,4.1581e-13,8.3162e-13,1.6632e-12,3.3265e-12,4.1149e-14,8.2298e-14,2.0574e-13,4.1149e-13,8.2298e-13,1.646e-12,3.2919e-12,4.0307e-14,8.0614e-14,2.0154e-13,4.0307e-13,8.0614e-13,1.6123e-12,3.2246e-12,3.8708e-14,7.7416e-14,1.9354e-13,3.8708e-13,7.7416e-13,1.5483e-12,3.0966e-12,3.5813e-14,7.1627e-14,1.7907e-13,3.5813e-13,7.1627e-13,1.4325e-12,2.8651e-12
0.025,3.8132e-13,7.6264e-13,1.9066e-12,3.8132e-12,7.6264e-12,1.5253e-11,3.0505e-11,3.8014e-13,7.6027e-13,1.9007e-12,3.8014e-12,7.6027e-12,1.5205e-11,3.0411e-11,3.7779e-13,7.5558e-13,1.889e-12,3.7779e-12,7.5558e-12,1.5112e-11,3.0223e-11,3.7317e-13,7.4635e-13,1.8659e-12,3.7317e-12,7.4635e-12,1.4927e-11,2.9854e-11,3.6423e-13,7.2846e-13,1.8211e-12,3.6423e-12,7.2846e-12,1.4569e-11,2.9138e-11,3.4741e-13,6.9482e-13,1.737e-12,3.4741e-12,6.9482e-12,1.3896e-11,2.7793e-11,3.1755e-13,6.3509e-13,1.5877e-12,3.1755e-12,6.3509e-12,1.2702e-11,2.5404e-11
0.03,2.3615e-12,4.723e-12,1.1807e-11,2.3615e-11,4.723e-11,9.4459e-11,1.8892e-10,2.353e-12,4.706e-12,1.1765e-11,2.353e-11,4.706e-11,9.412e-11,1.8824e-10,2.3362e-12,4.6724e-12,1.1681e-11,2.3362e-11,4.6724e-11,9.3447e-11,1.8689e-10,2.3032e-12,4.6064e-12,1.1516e-11,2.3032e-11,4.6064e-11,9.2128e-11,1.8426e-10,2.2396e-12,4.4792e-12,1.1198e-11,2.2396e-11,4.4792e-11,8.9584e-11,1.7917e-10,2.1213e-12,4.2427e-12,1.0607e-11,2.1213e-11,4.2427e-11,8.4854e-11,1.6971e-10,1.9154e-12,3.8307e-12,9.5768e-12,1.9154e-11,3.8307e-11,7.6614e-11,1.5323e-10
0.035,1.1151e-11,2.2302e-11,5.5754e-11,1.1151e-10,2.2302e-10,4.4603e-10,8.9207e-10,1.1105e-11,2.221e-11,5.5526e-11,1.1105e-10,2.221e-10,4.4421e-10,8.8841e-10,1.1015e-11,2.2029e-11,5.5074e-11,1.1015e-10,2.2029e-10,4.4059e-10,8.8118e-10,1.0838e-11,2.1675e-11,5.4189e-11,1.0838e-10,2.1675e-10,4.3351e-10,8.6702e-10,1.0499e-11,2.0997e-11,5.2493e-11,1.0499e-10,2.0997e-10,4.1994e-10,8.3988e-10,9.8743e-12,1.9749e-11,4.9372e-11,9.8743e-11,1.9749e-10,3.9497e-10,7.8995e-10,8.8078e-12,1.7616e-11,4.4039e-11,8.8078e-11,1.7616e-10,3.5231e-10,7.0462e-10
0.04,4.3037e-11,8.6075e-11,2.1519e-10,4.3037e-10,8.6075e-10,1.7215e-09,3.443e-09,4.2839e-11,8.5678e-11,2.1419e-10,4.2839e-10,8.5678e-10,1.7136e-09,3.4271e-09,4.2446e-11,8.4893e-11,2.1223e-10,4.2446e-10,8.4893e-10,1.6979e-09,3.3957e-09,4.1681e-11,8.3362e-11,2.084e-10,4.1681e-10,8.3362e-10,1.6672e-09,3.3345e-09,4.0222e-11,8.0443e-11,2.0111e-10,4.0222e-10,8.0443e-10,1.6089e-09,3.2177e-09,3.7564e-11,7.5129e-11,1.8782e-10,3.7564e-10,7.5129e-10,1.5026e-09,3.0051e-09,3.3109e-11,6.6218e-11,1.6554e-10,3.3109e-10,6.6218e-10,1.3244e-09,2.6487e-09
0.045,1.4212e-10,2.8425e-10,7.1061e-10,1.4212e-09,2.8425e-09,5.6849e-09,1.137e-08,1.4139e-10,2.8278e-10,7.0696e-10,1.4139e-09,2.8278e-09,5.6557e-09,1.1311e-08,1.3995e-10,2.799e-10,6.9976e-10,1.3995e-09,2.799e-09,5.5981e-09,1.1196e-08,1.3715e-10,2.743e-10,6.8575e-10,1.3715e-09,2.743e-09,5.486e-09,1.0972e-08,1.3184e-10,2.6368e-10,6.5919e-10,1.3184e-09,2.6368e-09,5.2735e-09,1.0547e-08,1.2227e-10,2.4454e-10,6.1134e-10,1.2227e-09,2.4454e-09,4.8907e-09,9.7815e-09,1.0651e-10,2.1303e-10,5.3257e-10,1.0651e-09,2.1303e-09,4.2606e-09,8.5211e-09
