0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,1.0108e-19,2.0216e-19,5.0539e-19,1.0108e-18,2.0216e-18,4.0431e-18,8.0863e-18,1.0092e-19,2.0185e-19,5.0462e-19,1.0092e-18,2.0185e-18,4.037e-18,8.074e-18,1.0062e-19,2.0124e-19,5.0309e-19,1.0062e-18,2.0124e-18,4.0247e-18,8.0495e-18,1.0001e-19,2.0002e-19,5.0005e-19,1.0001e-18,2.0002e-18,4.0004e-18,8.0008e-18,9.881e-20,1.9762e-19,4.9405e-19,9.881e-19,1.9762e-18,3.9524e-18,7.9048e-18,9.6478e-20,1.9296e-19,4.8239e-19,9.6478e-19,1.9296e-18,3.8591e-18,7.7183e-18,9.2071e-20,1.8414e-19,4.6035e-19,9.2071e-19,1.8414e-18,3.6828e-18,7.3657e-18
0.01,4.7481e-17,9.4962e-17,2.374e-16,4.7481e-16,9.4962e-16,1.8992e-15,3.7985e-15,4.7395e-17,9.4789e-17,2.3697e-16,4.7395e-16,9.4789e-16,1.8958e-15,3.7916e-15,4.7223e-17,9.4446e-17,2.3611e-16,4.7223e-16,9.4446e-16,1.8889e-15,3.7778e-15,4.6882e-17,9.3764e-17,2.3441e-16,4.6882e-16,9.3764e-16,1.8753e-15,3.7506e-15,4.6212e-17,9.2424e-17,2.3106e-16,4.6212e-16,9.2424e-16,1.8485e-15,3.697e-15,4.4917e-17,8.9834e-17,2.2458e-16,4.4917e-16,8.9834e-16,1.7967e-15,3.5933e-15,4.2493e-17,8.4986e-17,2.1247e-16,4.2493e-16,8.4986e-16,1.6997e-15,3.3994e-15
0.015,2.1875e-15,4.3749e-15,1.0937e-14,2.1875e-14,4.3749e-14,8.7498e-14,1.75e-13,2.1827e-15,4.3653e-15,1.0913e-14,2.1827e-14,4.3653e-14,8.7306e-14,1.7461e-13,2.1731e-15,4.3462e-15,1.0866e-14,2.1731e-14,4.3462e-14,8.6924e-14,1.7385e-13,2.1542e-15,4.3084e-15,1.0771e-14,2.1542e-14,4.3084e-14,8.6169e-14,1.7234e-13,2.1172e-15,4.2345e-15,1.0586e-14,2.1172e-14,4.2345e-14,8.4689e-14,1.6938e-13,2.0463e-15,4.0926e-15,1.0231e-14,2.0463e-14,4.0926e-14,8.1851e-14,1.637e-13,1.9155e-15,3.831e-15,9.5774e-15,1.9155e-14,3.831e-14,7.6619e-14,1.5324e-13
0.02,3.5923e-14,7.1846e-14,1.7961e-13,3.5923e-13,7.1846e-13,1.4369e-12,2.8738e-12,3.5828e-14,7.1657e-14,1.7914e-13,3.5828e-13,7.1657e-13,1.4331e-12,2.8663e-12,3.5641e-14,7.1282e-14,1.782e-13,3.5641e-13,7.1282e-13,1.4256e-12,2.8513e-12,3.527e-14,7.0541e-14,1.7635e-13,3.527e-13,7.0541e-13,1.4108e-12,2.8216e-12,3.4549e-14,6.9098e-14,1.7274e-13,3.4549e-13,6.9098e-13,1.382e-12,2.7639e-12,3.3178e-14,6.6356e-14,1.6589e-13,3.3178e-13,6.6356e-13,1.3271e-12,2.6543e-12,3.0697e-14,6.1394e-14,1.5349e-13,3.0697e-13,6.1394e-13,1.2279e-12,2.4558e-12
0.025,3.2684e-13,6.5369e-13,1.6342e-12,3.2684e-12,6.5369e-12,1.3074e-11,2.6148e-11,3.2583e-13,6.5166e-13,1.6292e-12,3.2583e-12,6.5166e-12,1.3033e-11,2.6066e-11,3.2382e-13,6.4764e-13,1.6191e-12,3.2382e-12,6.4764e-12,1.2953e-11,2.5906e-11,3.1986e-13,6.3973e-13,1.5993e-12,3.1986e-12,6.3973e-12,1.2795e-11,2.5589e-11,3.122e-13,6.2439e-13,1.561e-12,3.122e-12,6.2439e-12,1.2488e-11,2.4976e-11,2.9778e-13,5.9556e-13,1.4889e-12,2.9778e-12,5.9556e-12,1.1911e-11,2.3822e-11,2.7218e-13,5.4436e-13,1.3609e-12,2.7218e-12,5.4436e-12,1.0887e-11,2.1775e-11
0.03,2.0241e-12,4.0483e-12,1.0121e-11,2.0241e-11,4.0483e-11,8.0965e-11,1.6193e-10,2.0169e-12,4.0337e-12,1.0084e-11,2.0169e-11,4.0337e-11,8.0674e-11,1.6135e-10,2.0024e-12,4.0049e-12,1.0012e-11,2.0024e-11,4.0049e-11,8.0098e-11,1.602e-10,1.9742e-12,3.9483e-12,9.8708e-12,1.9742e-11,3.9483e-11,7.8967e-11,1.5793e-10,1.9197e-12,3.8393e-12,9.5983e-12,1.9197e-11,3.8393e-11,7.6787e-11,1.5357e-10,1.8183e-12,3.6366e-12,9.0915e-12,1.8183e-11,3.6366e-11,7.2732e-11,1.4546e-10,1.6417e-12,3.2835e-12,8.2087e-12,1.6417e-11,3.2835e-11,6.5669e-11,1.3134e-10
0.035,9.5579e-12,1.9116e-11,4.7789e-11,9.5579e-11,1.9116e-10,3.8232e-10,7.6463e-10,9.5187e-12,1.9037e-11,4.7594e-11,9.5187e-11,1.9037e-10,3.8075e-10,7.615e-10,9.4412e-12,1.8882e-11,4.7206e-11,9.4412e-11,1.8882e-10,3.7765e-10,7.553e-10,9.2895e-12,1.8579e-11,4.6447e-11,9.2895e-11,1.8579e-10,3.7158e-10,7.4316e-10,8.9988e-12,1.7998e-11,4.4994e-11,8.9988e-11,1.7998e-10,3.5995e-10,7.199e-10,8.4637e-12,1.6927e-11,4.2318e-11,8.4637e-11,1.6927e-10,3.3855e-10,6.771e-10,7.5495e-12,1.5099e-11,3.7748e-11,7.5495e-11,1.5099e-10,3.0198e-10,6.0396e-10
0.04,3.6889e-11,7.3779e-11,1.8445e-10,3.6889e-10,7.3779e-10,1.4756e-09,2.9511e-09,3.6719e-11,7.3438e-11,1.836e-10,3.6719e-10,7.3438e-10,1.4688e-09,2.9375e-09,3.6383e-11,7.2765e-11,1.8191e-10,3.6383e-10,7.2765e-10,1.4553e-09,2.9106e-09,3.5726e-11,7.1453e-11,1.7863e-10,3.5726e-10,7.1453e-10,1.4291e-09,2.8581e-09,3.4476e-11,6.8951e-11,1.7238e-10,3.4476e-10,6.8951e-10,1.379e-09,2.7581e-09,3.2198e-11,6.4396e-11,1.6099e-10,3.2198e-10,6.4396e-10,1.2879e-09,2.5758e-09,2.8379e-11,5.6758e-11,1.4189e-10,2.8379e-10,5.6758e-10,1.1352e-09,2.2703e-09
0.045,1.2182e-10,2.4364e-10,6.091e-10,1.2182e-09,2.4364e-09,4.8728e-09,9.7456e-09,1.2119e-10,2.4239e-10,6.0597e-10,1.2119e-09,2.4239e-09,4.8477e-09,9.6955e-09,1.1996e-10,2.3992e-10,5.9979e-10,1.1996e-09,2.3992e-09,4.7984e-09,9.5967e-09,1.1756e-10,2.3511e-10,5.8778e-10,1.1756e-09,2.3511e-09,4.7023e-09,9.4045e-09,1.13e-10,2.2601e-10,5.6502e-10,1.13e-09,2.2601e-09,4.5202e-09,9.0404e-09,1.048e-10,2.096e-10,5.2401e-10,1.048e-09,2.096e-09,4.1921e-09,8.3841e-09,9.1298e-11,1.826e-10,4.5649e-10,9.1298e-10,1.826e-09,3.6519e-09,7.3038e-09
0.05,3.553e-10,7.106e-10,1.7765e-09,3.553e-09,7.106e-09,1.4212e-08,2.8424e-08,3.5328e-10,7.0657e-10,1.7664e-09,3.5328e-09,7.0657e-09,1.4131e-08,2.8263e-08,3.4932e-10,6.9864e-10,1.7466e-09,3.4932e-09,6.9864e-09,1.3973e-08,2.7946e-08,3.4163e-10,6.8326e-10,1.7081e-09,3.4163e-09,6.8326e-09,1.3665e-08,2.733e-08,3.2713e-10,6.5427e-10,1.6357e-09,3.2713e-09,6.5427e-09,1.3085e-08,2.6171e-08,3.0128e-10,6.0257e-10,1.5064e-09,3.0128e-09,6.0257e-09,1.2051e-08,2.4103e-08,2.5949e-10,5.1898e-10,1.2975e-09,2.5949e-09,5.1898e-09,1.038e-08,2.0759e-08
0.055,9.3646e-10,1.8729e-09,4.6823e-09,9.3646e-09,1.8729e-08,3.7458e-08,7.4917e-08,9.3065e-10,1.8613e-09,4.6533e-09,9.3065e-09,1.8613e-08,3.7226e-08,7.4452e-08,9.1924e-10,1.8385e-09,4.5962e-09,9.1924e-09,1.8385e-08,3.677e-08,7.3539e-08,8.9716e-10,1.7943e-09,4.4858e-09,8.9716e-09,1.7943e-08,3.5886e-08,7.1773e-08,8.5579e-10,1.7116e-09,4.2789e-09,8.5579e-09,1.7116e-08,3.4232e-08,6.8463e-08,7.8276e-10,1.5655e-09,3.9138e-09,7.8276e-09,1.5655e-08,3.131e-08,6.2621e-08,6.6674e-10,1.3335e-09,3.3337e-09,6.6675e-09,1.3335e-08,2.667e-08,5.334e-08
0.06,2.269e-09,4.538e-09,1.1345e-08,2.269e-08,4.538e-08,9.0761e-08,2.1813e-05,2.2537e-09,4.5075e-09,1.1269e-08,2.2537e-08,4.5075e-08,9.015e-08,1.0902e-05,2.2237e-09,4.4475e-09,1.1119e-08,2.2237e-08,4.4475e-08,8.895e-08,5.4499e-06,2.1659e-09,4.3318e-09,1.0829e-08,2.1659e-08,4.3318e-08,8.6635e-08,2.7247e-06,2.0581e-09,4.1161e-09,1.029e-08,2.0581e-08,4.1161e-08,8.2322e-08,1.3623e-06,1.8697e-09,3.7393e-09,9.3483e-09,1.8697e-08,3.7393e-08,7.4787e-08,6.8118e-07,1.5755e-09,3.151e-09,7.8775e-09,1.5755e-08,3.151e-08,6.302e-08,3.4061e-07
0.065,5.1208e-09,1.0242e-08,2.5604e-08,5.1208e-08,1.1409e-05,2.2939e-05,4.6019e-05,5.0835e-09,1.0167e-08,2.5418e-08,5.0836e-08,1.0167e-07,1.1466e-05,2.2995e-05,5.0106e-09,1.0021e-08,2.5053e-08,5.0106e-08,1.0021e-07,5.7322e-06,1.1494e-05,4.8702e-09,9.7403e-09,2.4351e-08,4.8702e-08,9.7403e-08,2.8659e-06,5.7463e-06,4.61e-09,9.22e-09,2.305e-08,4.61e-08,9.22e-08,1.4329e-06,2.873e-06,4.1599e-09,8.3199e-09,2.08e-08,4.1599e-08,8.3199e-08,7.1651e-07,1.4364e-06,3.469e-09,6.938e-09,1.7345e-08,3.469e-08,6.938e-08,3.5829e-07,7.1824e-07
0.07,1.0875e-08,2.1751e-08,5.4377e-08,1.1338e-05,2.2794e-05,4.5722e-05,9.1638e-05,1.0791e-08,2.1581e-08,5.3953e-08,1.0791e-07,1.1395e-05,2.2851e-05,4.5778e-05,1.0624e-08,2.1248e-08,5.3121e-08,1.0624e-07,5.6967e-06,1.1423e-05,2.2879e-05,1.0305e-08,2.0611e-08,5.1526e-08,1.0305e-07,2.8482e-06,5.7108e-06,1.1437e-05,9.7175e-09,1.9435e-08,4.8588e-08,9.7176e-08,1.4241e-06,2.8553e-06,5.7179e-06,8.711e-09,1.7422e-08,4.3555e-08,8.711e-08,7.1211e-07,1.4276e-06,2.8588e-06,7.1907e-09,1.4381e-08,3.5954e-08,7.1907e-08,3.5608e-07,7.1386e-07,1.4294e-06
0.075,2.1915e-08,4.3829e-08,1.0957e-07,1.1378e-05,4.3264e-05,8.6696e-05,0.00017373,2.1731e-08,4.3463e-08,1.0866e-07,1.0782e-05,2.1625e-05,4.332e-05,8.6753e-05,2.1374e-08,4.2747e-08,1.0687e-07,5.3908e-06,1.0811e-05,2.1653e-05,4.3349e-05,2.0689e-08,4.1379e-08,1.0345e-07,2.6953e-06,5.405e-06,1.0825e-05,2.1667e-05,1.9435e-08,3.8871e-08,9.7177e-08,1.3477e-06,2.7024e-06,5.412e-06,1.0832e-05,1.7309e-08,3.4617e-08,8.6543e-08,6.7387e-07,1.3512e-06,2.706e-06,5.4156e-06,1.4148e-08,2.8296e-08,7.074e-08,3.3698e-07,6.7564e-07,1.353e-06,2.7077e-06
