0,0,0,0,0,0,0,0
0.05,1.01e-10,1.0085e-10,1.0054e-10,9.9937e-11,9.8738e-11,9.6408e-11,9.2003e-11
0.1,0.00013448,6.7206e-05,3.3594e-05,1.6795e-05,8.3971e-06,4.1985e-06,2.0992e-06
0.15,0.019567,0.0095133,0.0046921,0.0023303,0.0011612,0.00057961,0.00028956
0.2,0.84202,0.19234,0.076716,0.034826,0.016631,0.0081294,0.0040204
0.25,235.27,230.28,219.26,0.50344,0.1432,0.058851,0.027168
0.3,237.52,234.96,229.63,219.96,10.105,0.54557,0.14379
0.35,238.68,237.33,234.58,228.81,217.75,18.57,1.7956
0.4,239.22,238.44,236.84,233.57,226.65,212.76,17.2
0.45,239.51,239.02,238.02,235.99,231.78,222.79,203.73
0.5,239.67,239.34,238.68,237.34,234.6,228.85,216.29
0.55,239.77,239.54,239.08,238.15,236.26,232.36,224.05
0.6,239.83,239.67,239.34,238.67,237.31,234.53,228.72
0.65,239.88,239.75,239.5,239.01,238,235.95,231.71
0.7,239.91,239.81,239.62,239.24,238.47,236.91,233.71
0.75,239.93,239.85,239.7,239.4,238.8,237.59,235.11
0.8,239.94,239.88,239.76,239.52,239.05,238.08,236.11
0.85,239.95,239.9,239.81,239.61,239.22,238.44,236.85
0.9,239.96,239.92,239.84,239.68,239.36,238.71,237.41
0.95,239.97,239.93,239.87,239.73,239.46,238.92,237.83
1,239.97,239.94,239.89,239.77,239.55,239.09,238.17
1.05,239.98,239.95,239.9,239.81,239.61,239.22,238.43
1.1,239.98,239.96,239.92,239.83,239.66,239.32,238.64
1.15,239.98,239.96,239.93,239.85,239.7,239.41,238.81
1.2,239.98,239.97,239.93,239.87,239.74,239.48,238.95
1.25,239.99,239.97,239.94,239.88,239.77,239.54,239.07
1.3,239.99,239.97,239.95,239.9,239.79,239.59,239.17
1.35,239.99,239.98,239.95,239.91,239.81,239.63,239.25
1.4,239.99,239.98,239.96,239.92,239.83,239.66,239.32
1.45,239.99,239.98,239.96,239.92,239.85,239.69,239.38
1.5,239.99,239.98,239.96,239.93,239.86,239.72,239.43
1.45,239.99,239.98,239.96,239.92,239.85,239.69,239.39
1.4,239.99,239.98,239.96,239.92,239.83,239.66,239.33
1.35,239.99,239.98,239.95,239.91,239.82,239.63,239.26
1.3,239.99,239.97,239.95,239.9,239.8,239.59,239.18
1.25,239.99,239.97,239.94,239.89,239.77,239.54,239.08
1.2,239.98,239.97,239.94,239.87,239.74,239.48,238.97
1.15,239.98,239.96,239.93,239.85,239.71,239.42,238.83
1.1,239.98,239.96,239.92,239.83,239.67,239.33,238.66
1.05,239.98,239.95,239.9,239.81,239.62,239.23,238.45
1,239.97,239.94,239.89,239.78,239.55,239.1,238.19
0.95,239.97,239.93,239.87,239.74,239.47,238.94,237.87
0.9,239.96,239.92,239.84,239.69,239.37,238.74,237.46
0.85,239.95,239.91,239.81,239.62,239.24,238.47,236.92
0.8,239.94,239.88,239.77,239.54,239.07,238.13,236.21
0.75,239.93,239.86,239.71,239.42,238.84,237.66,235.24
0.7,239.91,239.82,239.63,239.26,238.52,237.01,233.91
0.65,239.88,239.76,239.52,239.04,238.07,236.1,232.01
0.6,239.84,239.68,239.36,238.72,237.42,234.76,229.2
0.55,239.78,239.56,239.13,238.24,236.44,232.74,224.86
0.5,239.69,239.38,238.76,237.49,234.91,229.52,217.79
0.45,239.54,239.08,238.16,236.27,232.38,224.08,205.23
0.4,239.29,238.57,237.12,234.14,227.88,214.1,177.7
0.35,238.82,237.63,235.19,230.11,219.12,192.66,2.6964
0.3,237.89,235.72,231.23,221.58,199.07,0.84612,0.17337
0.25,235.77,231.33,221.79,199.61,0.25745,0.079249,0.043106
0.2,230.04,218.96,192.22,0.07684,0.031156,0.016581,0.0082004
0.15,209.48,165.81,0.017726,0.0085264,0.0042607,0.002126,0.0010606
0.1,132.32,0.0023077,0.0011486,0.00057336,0.0002865,0.0001432,7.1585e-05
0.05,9.1257e-05,4.5611e-05,2.2801e-05,1.1399e-05,5.6991e-06,2.8494e-06,1.4247e-06
0,1.1306e-07,5.6502e-08,2.821e-08,1.4103e-08,7.0167e-09,3.4395e-09,1.7209e-09
